section,metric,target,value,extra
effective_sparsity,entries_required,99.5%,10,compression_vs_structural=1
effective_sparsity,entries_required,99.9%,10,compression_vs_structural=1
effective_sparsity,entries_required,100%,10,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,95%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,97%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,98%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99.5%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99.9%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,100%,3,entry_count_if_banded=16
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.176611672346553,index=0
uncertainty,max_variance,,0.187874118792824,index=3
uncertainty,max_abs_correlation,,0.207624153507196,pair=2;3
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,latent_2,3.82964286516317,index=2;sd=0.42959784867702;variance=0.184554311587924;variance_share=0.251732162843913;correlation_centrality=0.454785543908904;curvature_column_norm=6.1276958503365;importance_share=0.27536437577046
parameter_influence,importance,latent_1,3.81226848438784,index=1;sd=0.429065832759993;variance=0.184097488842026;variance_share=0.251109056415937;correlation_centrality=0.449981114355111;curvature_column_norm=6.1276958503365;importance_share=0.274115098570198
parameter_influence,importance,latent_0,3.16439943582078,index=0;sd=0.420251915339541;variance=0.176611672346553;variance_share=0.240898399396632;correlation_centrality=0.25164802480372;curvature_column_norm=6.01588296291219;importance_share=0.227531105644249
parameter_influence,importance,latent_3,3.10123573166752,index=3;sd=0.433444481788411;variance=0.187874118792824;variance_share=0.256260381343518;correlation_centrality=0.258940827969013;curvature_column_norm=5.68323982080415;importance_share=0.222989420015093
parameter_influence,correlation_pair,latent_2__latent_3,0.207624153507196,i=2;j=3;abs_correlation=0.207624153507196
parameter_influence,correlation_pair,latent_1__latent_2,0.205697754956321,i=1;j=2;abs_correlation=0.205697754956321
parameter_influence,correlation_pair,latent_0__latent_1,0.201575537147654,i=0;j=1;abs_correlation=0.201575537147654
parameter_influence,correlation_pair,latent_1__latent_3,0.0427078222511369,i=1;j=3;abs_correlation=0.0427078222511369
parameter_influence,correlation_pair,latent_0__latent_2,0.0414636354453868,i=0;j=2;abs_correlation=0.0414636354453868
parameter_influence,correlation_pair,latent_0__latent_3,0.00860885221067942,i=0;j=3;abs_correlation=0.00860885221067942
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,4,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
correlation_graph,maximum_degree,,0,parameter=latent_0
correlation_graph,connected_components,,4,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
gradient_volatility,most_volatile_parameter,,,sd=nan
gradient_volatility,most_sign_flips_parameter,,,sign_flips=0
latent_states,count,,4,
latent_states,mean,,0.518155648016863,
latent_states,sd,,0.233536717714028,
latent_states,min_value,,0.17893556839791,index=2
latent_states,max_value,,0.778353445763383,index=1
latent_states,l2_norm,,1.13670519325358,
