section,metric,target,value,extra
correlation_graph,maximum_degree,,0,parameter=latent_0
correlation_graph,connected_components,,4,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
gradient_volatility,most_volatile_parameter,,,sd=nan
gradient_volatility,most_sign_flips_parameter,,,sign_flips=0
latent_states,count,,4,
latent_states,mean,,0.417073989107842,
latent_states,sd,,0.282109175625996,
latent_states,min_value,,-0.0478086072981184,index=2
latent_states,max_value,,0.652897173713833,index=1
latent_states,l2_norm,,1.00704776324206,
