section,metric,target,value,extra
parameter_influence,correlation_pair,latent_2__latent_3,-0.135974999008304,i=2;j=3;abs_correlation=0.135974999008304
parameter_influence,correlation_pair,latent_0__latent_2,-0.00788847963450344,i=0;j=2;abs_correlation=0.00788847963450344
parameter_influence,correlation_pair,latent_1__latent_3,-0.00769481565317715,i=1;j=3;abs_correlation=0.00769481565317715
parameter_influence,correlation_pair,latent_0__latent_3,-0.000443244343194951,i=0;j=3;abs_correlation=0.000443244343194951
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,4,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
correlation_graph,maximum_degree,,0,parameter=latent_0
correlation_graph,connected_components,,4,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
gradient_volatility,most_volatile_parameter,,,sd=nan
gradient_volatility,most_sign_flips_parameter,,,sign_flips=0
latent_states,count,,4,
latent_states,mean,,0.435620810080604,
latent_states,sd,,0.322004232944995,
latent_states,min_value,,-0.0205362485009595,index=0
latent_states,max_value,,0.842265440854571,index=2
latent_states,l2_norm,,1.08342460044024,
